0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10500,15900,18100,19500,21600,23800,25600,25600,25600,25600,25600,25600,25600,25600,25600,25600,25600,25600,25600,25600
9100,11900,13500,16400,17600,18600,20800,23000,24100,26300,29400,34800,37200,38800,40400,45600,45700,46900,48000,48000
8800,13300,15000,17000,18600,18700,20100,23100,25700,25800,25800,25800,25800,25800,25800,25800,25800,25800,25800,25800
8400,9700,16300,16700,18700,21600,23600,24300,25400,28600,30000,31700,33000,36100,37800,38700,38700,38700,38700,38700
8400,11300,15200,16500,18300,20100,22900,23300,23300,23300,23300,23300,23300,23300,23300,23300,23300,23300,23300,23300
12400,16900,18300,21000,23200,23300,25100,27000,27100,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800
9800,12400,15000,18600,18600,18600,18600,18600,18600,18600,18600,18600,18600,18600,18600,18600,18600,18600,18600,18600
15100,17000,19200,22400,22400,22400,22400,22400,22400,22400,22400,22400,22400,22400,22400,22400,22400,22400,22400,22400
12100,14700,16600,17500,21300,22200,26400,31500,31500,31500,31500,31500,31500,31500,31500,31500,31500,31500,31500,31500
19800,21300,26400,28000,30000,30900,34000,38000,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200
10800,14900,16700,17800,19700,22400,24900,26300,29300,32100,33800,35800,35800,35800,35800,35800,35800,35800,35800,35800
17500,18100,21200,22600,24900,25600,29700,30600,33700,34700,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100
8500,10200,12200,12600,15700,16300,16400,20800,23000,24700,26800,28200,30000,30000,30000,30000,30000,30000,30000,30000
16400,18500,21100,22800,24100,24900,27900,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300
9500,17800,19900,20800,22300,24400,25900,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600,26600
15000,19100,20500,23900,25600,26000,28000,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400
10000,13600,15500,17000,18000,19700,21700,25600,29000,29900,30200,30800,30800,30800,30800,30800,30800,30800,30800,30800
10100,12400,13600,14700,16500,18900,22100,24100,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
11300,12100,14100,16500,18400,21000,22000,25700,26800,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200
11800,14500,15400,19600,20400,21300,24400,24400,24400,24400,24400,24400,24400,24400,24400,24400,24400,24400,24400,24400
8200,14100,16100,18800,18900,19600,20800,21200,22300,25600,25600,25600,25600,25600,25600,25600,25600,25600,25600,25600
8900,10900,12100,16700,19300,22500,23800,25200,25300,29400,32300,34700,34700,34700,34700,34700,34700,34700,34700,34700
11300,14300,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
14400,16200,18200,20300,22100,23500,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400
13000,17300,19800,23800,25800,27400,27600,28800,29000,29300,29500,31600,33700,33700,33700,33700,33700,33700,33700,33700
17900,20800,21500,21700,24500,26800,28600,30700,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300
11800,13000,17600,19600,19600,19600,19600,19600,19600,19600,19600,19600,19600,19600,19600,19600,19600,19600,19600,19600
9800,11800,13800,14900,16200,20200,26700,26900,27900,29800,30100,32500,34100,35000,38500,41000,41000,41000,41000,41000
16100,18200,19000,21000,23000,24200,25800,25900,29200,31100,31100,31100,31100,31100,31100,31100,31100,31100,31100,31100
6900,8100,12700,14700,18100,20200,21600,23400,27700,29700,31500,33500,37200,39600,39600,39600,39600,39600,39600,39600
